Nombre común |Nombre inglés |Nombre científico |Clase|Orden |Familia|Golfo de México|Mar Caribe|Pacífico |Fuera del país |Grupo|Nacional/Importado|Objetivo |Incidental |Deportiva |Fomento |Cultivada |Cartel|Tallas de captura (cm)|Tipo de captura (Selectiva, No selectiva|Tipo de arte de pesca|Lista roja IUCN|CITES|NOM-059-SEMARNAT-2010|Tipo de Veda|Veda|Generalidades |Distribución |Cultivada / capturada|Comercio|País de importación|Pacífico zona 1|Pacífico zona 2|Pacífico zona 3|Golfo Mex y Caribe zona 1|Golfo Mex y Caribe zona 2|Golfo Mex y Caribe zona 3|Estado según Arreguín et al. Litoral Oriental del Golfo de California |Estado según Arreguín et al. Litoral centro del Pacífico mexicano|Estado según Arreguín et al. Golfo de Tehuantepec |Estado según Arreguín et al. De Tamaulipas a Tabasco|Estado según Arreguín et al.  Banco de Campeche|Imagen|Datos|||firma
Pámpano de hebra|African Pompano|Alectis ciliaris|Actinopterygii|Perciformes|Carangidae|1|1|1|1|Pámpanos|Nacional|0|1|0|0|0|2|100-150|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina pelágica, de aguas profundas y oceánicas. Los juveniles se pueden encontrar cerca de la orilla; los adultos prefieren  profundidades de hasta 60 m. Se alimentan de crustáceos móviles y en ocasiones de pequeños cangrejos y peces.|Se distribuye por todo el mundo en los mares tropicales.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|Sin datos.|Sin datos.|Sin datos.||||||Alectis ciliaris.png|0|||
Zorro pelágico|Pelagic Thresher|Alopias pelagicus|Chondrichthyes|Lamniformes|Alopiidae|0|0|1|0|Tiburones|Nacional|1|0|0|0|0|2|160-360|Selectiva|Palangres y redes de enmalle establecidos en la NOM-029-PESCA 2006 de Tiburones y Rayas.  |Vulnerable|||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos pelágicos y altamente migratorios. Se alimenta principalmente de calamares.|Se distribuye casi en todo el Pacífico. |Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|||||||||Alopias pelagicus.png|1|||FMM
Tiburón zorro ojón|Bigeye Thresher|Alopias superciliosus|Chondrichthyes|Lamniformes|Alopiidae|0|0|1|0|Tiburones|Nacional|1|0|0|0|0|2|140-460|Selectiva|Palangres y redes de enmalle establecidos en la NOM-029-PESCA 2006 de Tiburones y Rayas.  |Vulnerable|||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos pelágicos y costeros. Se alimenta de peces y cefalópodos.|Se distribuye casi en todos los mares.|Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|||||||||Alopias superciliosus.png|1|||FMM
Tiburón zorro común|Thresher Shark|Alopias vulpinus|Chondrichthyes|Lamniformes|Alopiidae|0|0|1|0|Tiburones|Nacional|1|0|0|0|0|2|160-600|Selectiva|Palangres y redes de enmalle establecidos en la NOM-029-PESCA 2006 de Tiburones y Rayas.  |Vulnerable|||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos pelágicos y a veces costeros. Se alimenta de peces, cefalópodos, crustáceos y aves.|Se distribuye casi en todos los mares.|Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|||||||||Alopias vulpinus.png|1|||
Guaseta del Pacífico|Pacific Mutton Hamlet|Alphestes immaculatus|Actinopterygii|Perciformes|Serranidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|18-30|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros.Vive en zonas de pastos marinos, arrecifes rocosos. Se alimenta principalmente de crustáceos bentónicos. |Se distribuye en el Pacífico Oriental, desde el  norte del Golfo de California a Perú, incluyendo las Islas Galápagos.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Alphestes immaculatus.png|0|||
Lija Trompa|Scrawled Filefish|Aluterus scriptus|Actinopterygii|Tetraodontiformes|Monocanthidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|55-110|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros y pelágicos. Vive en lagunas y arrecifes. Se alimentan de algas, pastos marinos, hidrozoos, gorgonias, anémonas y tunicados.|Se distribuye en el Atlántico Occidental, desde Nueva Escocia, Canadá hasta Brasil. |Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Aluterus scriptus.png|0|||
Anchoa legítima| Striped Anchovy|Anchoa hepsetus|Actinopterygii|Clupeiformes|Engraulidae|1|1|0|0|Anchovetas|Nacional|0|1|0|0|0|2|11.5-15|No selectiva| Red de cerco con jareta, redes de arrastre y red agallera.||||||Especie marina de hábitos costeros y pelágicos. Vive en  aguas poco profundas cerca de la costa. Se alimenta de crustáceos y moluscos . |Se distribuye en el Atlántico Occidental, desde Massachusetts, EE.UU. hasta el Golfo de México y Mar Caribe; También desde el Golfo de Venezuela al sur de Uruguay.|Capturada|Procesado en harina y aceite.|||||Sin datos.|Sin datos.|Sin datos.||||||Anchoa hepsetus.png|0|||
Anchoa chicotera|Sharpnose Anchovy |Anchoa ischana|Actinopterygii|Clupeiformes|Engraulidae|0|0|1|0|Anchovetas|Nacional|0|1|0|0|0|2|9.5-14|No selectiva| Red de cerco con jareta, redes de arrastre y red agallera.|||||| Especie marina de hábitos pelágicos. Se alimenta de pequeños crustáceos.|Se distribuye en el Pacífico Centro-Oriental, desde la costa suroeste de Baja California, México y el Golfo de California hasta Panamá y las Islas Galápagos.|Capturada|Procesado en harina y aceite.||Sin datos.|Sin datos.|Sin datos.|||||||||Anchoa ischana.png|0|||
Anchoa ojuda|Big Eye Anchovy |Anchoa lamprotaenia|Actinopterygii|Clupeiformes|Engraulidae|1|1|0|0|Anchovetas|Nacional|0|1|0|0|0|2|10.5-12|No selectiva| Red de cerco con jareta, redes de arrastre y red agallera.||||||Especie marina de hábitos costeros. Se alimenta de zooplancton. |Se distribuye en el Atlántico Centro-Occidental, desde el sur de Florida EE.UU; Cuba, Bahamas, Antillas Mayores y Menores, y Yucatán, México hasta Venezuela.|Capturada|Procesado en harina y aceite.|||||Sin datos.|Sin datos.|Sin datos.||||||Anchoa lamprotaenia.png|0|||FMM
Anchoa caleta|Bay Anchovy |Anchoa mitchilli|Actinopterygii|Clupeiformes|Engraulidae|1|1|0|0|Anchovetas|Nacional|0|1|0|0|0|2|5.9-10|No selectiva| Red de cerco con jareta, redes de arrastre y red agallera.||||||Especie marina de hábitos costeros. Vive en zonas de marea poco profundas con fondos fangosos y aguas salobres. Se alimentan principalmente de copépodos, también de pequeños peces, gasterópodos e isópodos.|Se distribuye en el Atlántico Occidental, desde el sur de los cayos de Florida, EE.UU. alrededor del Golfo de México hasta el sur de Yucatán.|Capturada|Procesado en harina y aceite.|||||Sin datos.|Sin datos.|Sin datos.||||||Anchoa mitchilli.png|0|||
Lenguado tres ojos|Threespot Sand Flounder|Ancylopsetta dendritica|Actinopterygii|Pleuronectiformes|Paralichthydae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|20-35|No selectiva| Redes de enmalle de fondo y redes de arrastre, y en forma secundaria se utilizan líneas de anzuelos.||||||Especie marina de hábitos costeros. Vive en fondos fangosos y arenosos. |Se distribuye en el Pacífico Oriental, desde el Golfo de California a Perú.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Sin datos.|Sin datos.||||máximo aprovechamiento|colapso|sobre pesca |||Ancylopsetta dendritica.png|1|||
Anguila europea|European Eel|Anguilla anguilla|Actinopterygii|Anguilliformes|Anguillidae|0|0|0|1|Anguilas|Importado|0|0|0|0|1|2|30-130|Selectiva|Cultivos de engorda.|En peligro crítico|Apéndice II||||Especie de agua dulce y salada. Se alimenta de invertebrados y pequeños peces. |Se distribuye en ríos que desembocan en el Atlántico Norte, el Mar Báltico y el Mediterráneo. Vive a lo largo de las costas de Europa, desde el Mar Negro hasta el Mar Blanco.|Cultivada|Fresco y congelado.|Estados Unidos, China y Corea de Sur.||||||||||||Anguilla anguilla.png|0|||
Burro bacoco|Burrito Grunt|Anisotremus interruptus|Actinopterygii|Perciformes|Haemulidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|30-51|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Vive en los arrecifes y cuevas. Se alimenta de invertebrados. |Se distribuye en el Pacífico Oriental, desde el Golfo de California hasta Perú, incluyendo las Islas Galápagos|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.||||sin datos |sin datos |sin datos |||Anisotremus interruptus.png|0|||
Burriquete|Black Margate|Anisotremus surinamensis|Actinopterygii|Perciformes|Haemulidae|1|0|0|0|Escama|Nacional|0|1|0|0|0|2|45-76|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Vive en arrecifes y fondos rocosos. Se alimenta de crustáceos, moluscos y peces más pequeños. |Se distribuye en el Atlántico Occidental, desde Florida, EE.UU. y las Bahamas a través del Golfo de México y el Mar Caribe hasta Brasil.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Anisotremus surinamensis.png|0|||FMM
Bacalao negro|Sablefish|Anoplopoma fimbria |Actinopterygii|Scorpaeniformes |Anoplopomatidae|0|0|1|0|Bacalaos|Nacional|1|0|0|0|0|2|50-100|Selectiva|Línea de trampa y palangre de anzuelo cebado.||||||Especie marina de hábitos bentónicos. Vive a profundidades que van de los 300 a 600 metros. Se alimenta de crustáceos, poliquetos y pequeños peces.   |Se distribuye en el Pacífico Norte, desde Japón, Mar de Bering, hasta Baja California Sur.|Capturada|Se utiliza la carne y su aceite de hígado.||Con potencial de desarrollo.|Sin datos.|Sin datos.|||||||||Anoplopoma fimbria.png|1|||FMM
Pargo lamparita|Black Snapper|Apsilus dentatus|Actinopterygii|Perciformes|Lutjanidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|40-65|No selectiva|Chinchorro playero, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros.  Vive en fondos rocosos, los juveniles se encuentran cerca de la superficie. Se alimentan de peces y organismos bentónicos, incluidos los cefalópodos y ascidias.|Se distribuye en el Atlántico Centro-Occidental, desde  Florida hasta el oeste del Caribe. |Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Apsilus dentatus.png|0|||FMM
Sargo chopa|Sheepshead Sargo|Archosargus probatocephalus|Actinopterygii|Perciformes|Sparidae|1|0|0|0|Escama|Nacional|0|1|0|0|0|2|35-91|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Vive en arrecifes, bahías y estuarios.|Se distribuye en el Atlántico Occidental, desde  Nueva Escocia, Canadá y norte del Golfo de México hasta Brasil.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Archosargus probatocephalus.png|0|||
Sargo amarillo|Western Atlantic Seabream|Archosargus rhomboidalis|Actinopterygii|Perciformes|Sparidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|20-33|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros.Vive en manglares y en fondos de arena con vegetación. Se alimenta de invertebrados bentónicos.|Se distribuye en el Atlántico Occidental, desde Nueva Jersey, EE.UU. y el noreste del Golfo de México hasta Argentina.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Archosargus rhomboidalis.png|0|||
Bagre maya|Mayan Sea Catfish |Ariopsis assimilis|Actinopterygii|Siluriformes|Ariidae|1|0|0|0|Bagres|Nacional|1|0|0|0|0|2|20-35|No selectiva|Red de enmalle, atarraya, línea de mano, palangre.||||||Especie marina de hábitos costeros. Vive en fondos fangosos. Se alimenta de peces e invertebrados.| Se distribuye en el oceano Atlantico de Mexico, Belize, Honduras, Guatemala, Nicaragua, Costa Rica y Panama.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Ariopsis assimilis.png|0|||
Bagre boca chica|Hardhead  Catfish |Ariopsis felis|Actinopterygii|Siluriformes|Ariidae|1|0|0|0|Bagres|Nacional|1|0|0|0|0|2|30-70|No selectiva|Red de enmalle, atarraya, línea de mano, palangre.||||||Especie marina de hábitos costeros. Habita en  lugares con clima subtropical y asociado a los arrecifes de coral. Los machos incuban los huevos en la boca. Su alimentacion se basa en peces e invertebrados.|Se encuentra en el Atlántico occidental: desde Massachusetts y el norte del Golfo de México hasta el sur de Florida y México.|Capturada|Comestible, pero generalmente no se consume.|||||Sin datos.|Máximo aprovechamiento permisible.|Sin datos.||||||Ariopsis felis.png|1|||
Bagre cuatete|Widehead Sea Catfish|Ariopsis guatemalensis|Actinopterygii|Siluriformes|Ariidae|0|0|1|0|Bagres|Nacional|1|0|0|0|0|2|20-40|No selectiva|Red de enmalle o chinchorro lisero.||||||Especie marina de hábitos costeros. Vive en fondos fangosos. Se alimenta de peces e invertebrados.|Se distribuye en el Pacífico Oriental, desde México a Costa Rica.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.||||Máximo aprovechamiento|sobre pesca|Máximo aprovechamiento|||Ariopsis guatemalensis.png|0|||
Bagre tete|Tete Sea Catfish|Ariopsis seemanni|Actinopterygii|Siluriformes|Ariidae|0|0|1|0|Bagres|Nacional|1|0|0|0|0|2|15-35|No selectiva|Red de enmalle de superficie tipo agallera, línea de mano y arpón.   ||||||Especie marina de hábitos costeros. Vive en fondos fangosos. Se alimenta de peces e invertebrados.|Se distribuye en el Pacífico Oriental, desde el Golfo de California hasta Perú.    |Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.||||Sin datos|Sin datos|sin datos |||Ariopsis seemanni.png|0|||
Botete panza rayada|White Spotted Puffer|Arothron hispidus|Actinopterygii|Tetraodontiformes|Tetraodontidae|0|0|1|0|Botetes|Nacional|0|1|0|0|0|2|15-50|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Vive en pendientes de arrecifes rocosos y de coral. Se alimenta de algas coralinas, detritus, moluscos, tunicados, esponjas, corales, anémonas, cangrejos, gusanos y equinodermos. |Distribuido ampliamente  en el Indo-Pacifico Tropical, desde el norte de Baja California a Colombia (menos el Golfo de California).|Capturada|Ornato.||Sin datos.|Sin datos.|Sin datos.||||sin datos|sin datos |sin datos|||Arothron hispidus.png|0|||
Botete aletas punteadas|Guineafowl Puffer|Arothron meleagris|Actinopterygii|Tetraodontiformes|Tetraodontidae|0|0|1|0|Botetes|Nacional|0|1|0|0|0|2|15-50|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Vive en corales, solitarios. Se alimenta principalmente de  corales, esponjas, moluscos, briozoos, tunicados, foraminíferos, algas y detritus.|Distribuido ampliamente  en el Indo-Pacifico Tropical, desde el suroeste del Golfo de  California a Ecuador y todas las islas oceanicas del Pacifico. |Capturada|Ornato.||Sin datos.|Sin datos.|Sin datos.||||sin datos|sin datos |sin datos|||Arothron meleagris.png|0|||
Corvina blanca|White Seabass|Atractoscion nobilis|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Corvinas|Nacional|1|0|0|0|0|1|80-160|No selectiva|Línea de mano para peces pelágicos y demersales. ||||||Especie marina que vive asociada a fondos rocosos y a bosques de macroalgas. Se alimenta de peces y cefalópodos. |Se distribuye en el Pacífico Oriental, desde Alaska hasta el Golfo de California.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.||||sobre pesca|sobre pesca|sobre pesca|||AtractoscionNobilis.png|1|||
Melvera|Bullet Mackerel|Auxis rochei rochei|Actinopterygii|Perciformes|Scombridae|0|0|1|0|Escama|Nacional|0|1|0|0|0|1|15-50|No selectiva|Red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina pelágica y oceánica. Se alimenta de peces, crustáceos y cefalópodos. |Se distribuye casi en todos los mares.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.||||máximo aprovechamiento|máximo aprovechamiento|colapso|||Auxis rochei.png|0|||
Melva|Frigate Mackerel|Auxis thazard|Actinopterygii|Perciformes|Scombridae|1|1|1|0|Escama|Nacional|0|1|0|0|0|2|60-65|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos pelágicos. Vive en la columna de agua. Se alimenta de pequeños peces, calamares, crustáceos planctónicos y larvas.|Se distribuye en la parte  Centro-Occidental del Atlántico, Índico y Pacífico.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|Sin datos.|Sin datos.|Sin datos.||||||Auxis thazard.png|0|||FMM
Bagre bandera|Gafftopsail Catfish|Bagre marinus|Actinopterygii|Siluriformes|Ariidae|1|1|0|0|Bagres|Nacional|1|0|0|0|0|1|25-70|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa.||||||Especie predominantemente marina. Vive en estuarios y manglares a profundidades menores de los 50 metros. Se alimenta de pequeños peces e invertebrados. Desova de mayo a agosto en la zona norte del Golfo de México.|Se distribuye en la costa del Atlántico, desde Estados Unidos a Brasil. |Capturada|Se utiliza la carne.|||||Sin datos.|Máximo aprovechamiento permisible.|Sin datos.||||||bagreMarinus.png|1|||
Bagre chihuil|Chihuil Bagre|Bagre panamensis|Actinopterygii|Siluriformes|Ariidae|0|0|1|0|Bagres|Nacional|1|0|0|0|0|1|22-40|No selectiva|Redes de arrastre, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Vive en fondos fangosos. Se alimenta de peces e invertebrados.|Se distribuye en el Pacífico Oriental, desde California a Perú.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.||||Máximo aprovechamiento|Máximo aprovechamiento|sobre pesca|||bagrePanamensis.png|0|||
Bagre barbón|Long-Barbeled Sea Catfish|Bagre pinnimaculatus|Actinopterygii|Siluriformes|Ariidae|0|0|1|0|Bagres|Nacional|1|0|0|0|0|2|30-90|No selectiva|Red de enmalle de superficie tipo agallera, línea de mano y arpón.   ||||||Especie marina de hábitos costeros. Vive en fondos fangosos. Se alimenta de peces e invertebrados.|Se distribuye en el Pacífico Oriental, desde California a Perú.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.||||Máximo aprovechamiento|sobre pesca|Máximo aprovechamiento|||Bagre pinnimaculatus.png|0|||
Ronco armado|Armed Croaker|Bairdiella armata|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Corvinas|Nacional|1|0|0|0|0|2|20-30|No selectiva|Chinchorro playero, red agallera para escama pelágica.||||||Especies marina de  hábitos  costeros. Entra en estuarios y desembocaduras de los ríos. Se alimenta principalmente de crustáceos. |Se distribuye en el Pacífico Centro-Oriental, desde  el  Golfo de California hasta Panamá.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.||||sobre pesca|sobre pesca|sobre pesca|||Bairdiella armata.png|1|||
Ronco amarillo|Silver Perch|Bairdiella chrysoura|Actinopterygii|Perciformes|Sciaenidae|1|0|0|0|Escama|Nacional|0|1|0|0|0|2|20-30|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Vive en aguas con fondos arenosos y fangosos. Se alimenta principalmente de crustáceos, gusanos y ocasionalmente de peces. |Se distribuye en el Atlántico Occidental, desde Nueva York hasta el sur de Florida en EE.UU., y en el este y norte del Golfo de México.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Bairdiella chrysoura.png|0|||
